DAYS,DATE,TOTAL A,TOTAL B,TOTAL C
Monday,2023-10-09,8.96,7.84,5.8
Tuesday,2023-10-10,10.82,9.87,5.37
Wednesday,2023-10-11,9.46,9.46,6.07
Thursday,2023-10-12,9.26,11.12,4.38
Friday,2023-10-13,8.27,11,3.94
Monday,2023-10-16,7.06,4.48,4.15
Tuesday,2023-10-17,0,8.53,4.32
Wednesday,2023-10-18,8.63,8.21,4.6
Thursday,2023-10-19,8.29,8.11,4.68
Friday,2023-10-20,8.43,11.37,3.21
Monday,2023-10-23,6.41,7.12,3.55
Tuesday,2023-10-24,8.38,7.28,3.62
Wednesday,2023-10-25,6.03,8.17,3.02
Thursday,2023-10-26,8.28,9.4,2.91
Friday,2023-10-27,9.46,10.38,2.94
Monday,2023-10-30,5.75,7.55,3.72
Tuesday,2023-10-31,8.62,7.65,4.25
Wednesday,2023-11-01,8.7,6.75,3.4
Thursday,2023-11-02,9.7,8.95,4.69
Friday,2023-11-03,9.06,8.42,3.99
Monday,2023-11-06,5.25,8,3.47
Tuesday,2023-11-07,8.69,7.66,4.13
Wednesday,2023-11-08,10.01,8.49,4.28
Thursday,2023-11-09,8.77,8.23,4.67
Friday,2023-11-10,10.5,7.16,4.48
Monday,2023-11-13,0,2.13,2.94
Tuesday,2023-11-14,3.81,7.04,3.88
Wednesday,2023-11-15,6.16,6.03,3.81
Thursday,2023-11-16,8.5,8.29,2.53
Friday,2023-11-17,8.59,8.83,3.56
Monday,2023-11-20,5.72,4.84,3.65
Tuesday,2023-11-21,7.07,8.62,3.86
Wednesday,2023-11-22,7.73,7.13,4.45
Thursday,2023-11-23,6.95,8.68,4.15
Friday,2023-11-24,9.34,8.92,3.41
Monday,2023-11-27,5.44,4.29,3.62
Tuesday,2023-11-28,9.32,6.41,3.54
Wednesday,2023-11-29,7.74,7.53,2.08
Thursday,2023-11-30,4.94,4.65,3.46
Friday,2023-12-01,6.89,8.42,3.12
Monday,2023-12-04,0,0,4.37
Tuesday,2023-12-05,0,2.35,2.83
Wednesday,2023-12-06,2.54,3.15,3.34
Thursday,2023-12-07,0,5.01,3.63
Friday,2023-12-08,5.77,6.57,4.02
Monday,2023-12-11,4.91,4.74,3.6
Tuesday,2023-12-12,6.85,7.54,3.55
Wednesday,2023-12-13,6.93,6.74,3.89
Thursday,2023-12-14,4.56,7.71,3.43
Friday,2023-12-15,7.04,7.21,4.4
Monday,2023-12-18,5.32,5.32,3.67
Tuesday,2023-12-19,7.27,7.65,4.02
Wednesday,2023-12-20,6.5,126.57,3.87
Thursday,2023-12-21,0,5.35,3.12
Friday,2023-12-22,6.29,7.76,2.48
Monday,2023-12-25,1.11,3.85,1.95
Tuesday,2023-12-26,3.94,5.77,3.33
Wednesday,2023-12-27,7.1,8,4.01
Thursday,2023-12-28,7.14,7.85,3.43
Friday,2023-12-29,7.95,9,3.48
Thursday,2024-01-04,7.71,8.08,3.55
Friday,2024-01-05,8.14,7.11,4.69
Monday,2024-01-08,4.23,5.56,3.22
Tuesday,2024-01-09,7.32,7.37,3.56
Wednesday,2024-01-10,8.87,7.39,3.84
Thursday,2024-01-11,5.54,8.04,0
Friday,2024-01-12,7.01,8.32,3.02
Monday,2024-01-15,2.59,3.28,1.02
Tuesday,2024-01-16,1.65,3.02,1.02
Wednesday,2024-01-17,0,5.74,3
Thursday,2024-01-18,6.79,0,3.45
Friday,2024-01-19,7.21,6.66,4.06
Monday,2024-01-22,1.43,2.54,2.76
Tuesday,2024-01-23,3.31,5.05,3.27
Wednesday,2024-01-24,3.37,6.77,3.13
Thursday,2024-01-25,6.69,7.33,2.82
Friday,2024-01-26,7.5,6.65,2.72
Monday,2024-01-29,0.59,1.57,1.95
Tuesday,2024-01-30,3.83,5.33,1.98
Wednesday,2024-01-31,7.06,6.64,0
Thursday,2024-02-01,6.53,4.97,2.83
Friday,2024-02-02,6.45,7.71,3.52
Monday,2024-02-05,3.42,2.42,1.94
Tuesday,2024-02-06,5.91,6.98,1.14
Wednesday,2024-02-07,7.81,8.62,2.86
Thursday,2024-02-08,5.37,4.56,2.97
Friday,2024-02-09,6.86,7.89,2.67
Monday,2024-02-12,3.02,1.49,1.56
Tuesday,2024-02-13,5.5,4.22,4.06
