DAYS,DATE,TOTAL A,TOTAL B,TOTAL C
Saturday,2023-10-07,10.28,5.78,6.04
Sunday,2023-10-08,0,0,13.62
Saturday,2023-10-14,8.39,7.84,4.67
Sunday,2023-10-15,3.07,3.21,3.46
Saturday,2023-10-21,7.78,9.35,3.88
Sunday,2023-10-22,5.05,2.92,2.8
Saturday,2023-10-28,9.44,9.58,5.81
Sunday,2023-10-29,2.39,0,3.75
Saturday,2023-11-04,9.57,7.83,3.98
Sunday,2023-11-05,3.26,3.86,3.18
Saturday,2023-11-11,7.54,5.48,5.01
Sunday,2023-11-12,1.14,2.24,3.92
Saturday,2023-11-18,8.23,8.22,3.95
Sunday,2023-11-19,3.22,3.71,3.11
Saturday,2023-11-25,0,6.57,2.51
Sunday,2023-11-26,4.14,2.79,2.69
Saturday,2023-12-02,8.04,3.7,4.27
Sunday,2023-12-03,3.21,3.46,2.1
Saturday,2023-12-09,8.68,7.33,4.36
Sunday,2023-12-10,3.24,2.82,3.24
Saturday,2023-12-16,7.33,5.69,4.32
Sunday,2023-12-17,2.63,3.27,2.08
Saturday,2023-12-23,4.98,7.15,4.91
Sunday,2023-12-24,0.01,3.46,2.74
Saturday,2023-12-30,4.82,5.05,4.52
Saturday,2024-01-06,7.58,7.38,4.3
Sunday,2024-01-07,2.68,2.77,2.9
Saturday,2024-01-13,7.06,8.79,3.19
Sunday,2024-01-14,2.25,3.51,1.34
Sunday,2024-01-21,6.99,7.24,3.28
Saturday,2024-01-27,1.78,3.6,2.8
Sunday,2024-01-28,1.25,2.03,2.38
Saturday,2024-02-03,7.96,8.95,2
Sunday,2024-02-04,7.47,6.97,2.25
Saturday,2024-02-10,8.42,8.1,3.47
Sunday,2024-02-11,8.2,6.53,3.88
